,t,dist,eps,I,coll,var
0,17.0,3439.457897144169,0.0012002897848461748,50,collapsed,free_v
1,17.0,3619.844301459623,0.0012002897848461748,50,collapsed,free_v
2,30.0,2641.804991474091,0.0012002897848461748,50,collapsed,free_v
3,24.0,2934.4046902126584,0.0012002897848461748,50,collapsed,free_v
4,18.0,2759.8564827627515,0.0012002897848461748,50,collapsed,free_v
5,24.0,2662.0707178167054,0.0012002897848461748,50,collapsed,free_v
6,20.0,2608.69343929064,0.0012002897848461748,50,collapsed,free_v
7,21.0,2504.460984796941,0.0012002897848461748,50,collapsed,free_v
8,25.0,5998.360021118935,0.0012002897848461748,50,collapsed,free_v
9,20.0,2216.2774090759353,0.0012002897848461748,50,collapsed,free_v
10,17.0,2995.729141735774,0.0012002897848461748,50,collapsed,free_v
11,16.0,2274.9377568153395,0.0012002897848461748,50,collapsed,free_v
12,20.0,2571.9179486142216,0.0012002897848461748,50,collapsed,free_v
13,21.0,2622.3841350144635,0.0012002897848461748,50,collapsed,free_v
14,30.0,2989.7026463794473,0.0012002897848461748,50,collapsed,free_v
15,45.0,3780.09367714353,0.0012002897848461748,50,collapsed,free_v
16,22.0,2396.834194907826,0.0012002897848461748,50,collapsed,free_v
17,28.0,2933.6239098176748,0.0012002897848461748,50,collapsed,free_v
18,18.0,2369.9645396194137,0.0012002897848461748,50,collapsed,free_v
19,27.0,3446.8475260647674,0.0012002897848461748,50,collapsed,free_v
20,22.0,2589.084915887396,0.0012002897848461748,50,collapsed,free_v
21,23.0,2669.1616944103357,0.0012002897848461748,50,collapsed,free_v
22,27.0,1968.7265373056694,0.0012002897848461748,50,collapsed,free_v
23,26.0,2398.559303934428,0.0012002897848461748,50,collapsed,free_v
24,21.0,1759.663145845861,0.0012002897848461748,50,collapsed,free_v
25,24.0,2675.9521303433003,0.0012002897848461748,50,collapsed,free_v
26,21.0,2282.7899091213435,0.0012002897848461748,50,collapsed,free_v
27,27.0,5856.041721513408,0.0012002897848461748,50,collapsed,free_v
