,t,dist,eps,I,coll,var
0,13.0,2226.36341948531,0.0026194347843641894,50,collapsed,free_v
1,14.0,1983.01608815534,0.0026194347843641894,50,collapsed,free_v
2,12.0,1715.070453494999,0.0026194347843641894,50,collapsed,free_v
3,12.0,1521.1722691447467,0.0026194347843641894,50,collapsed,free_v
4,9.0,2198.7788861183476,0.0026194347843641894,50,collapsed,free_v
5,12.0,2467.1921120519887,0.0026194347843641894,50,collapsed,free_v
6,11.0,1973.252293660664,0.0026194347843641894,50,collapsed,free_v
7,12.0,1889.6003436243677,0.0026194347843641894,50,collapsed,free_v
8,10.0,1701.3459474649005,0.0026194347843641894,50,collapsed,free_v
9,12.0,1499.3570043747634,0.0026194347843641894,50,collapsed,free_v
10,18.0,1399.6149666439683,0.0026194347843641894,50,collapsed,free_v
11,13.0,2603.623286546972,0.0026194347843641894,50,collapsed,free_v
12,16.0,1977.0711055872055,0.0026194347843641894,50,collapsed,free_v
13,12.0,1779.8606513677066,0.0026194347843641894,50,collapsed,free_v
14,12.0,1895.1868963508948,0.0026194347843641894,50,collapsed,free_v
15,11.0,1955.6599847742907,0.0026194347843641894,50,collapsed,free_v
16,16.0,21213.715179041254,0.0026194347843641894,50,collapsed,free_v
17,13.0,2429.928317080266,0.0026194347843641894,50,collapsed,free_v
18,18.0,1788.9849875133864,0.0026194347843641894,50,collapsed,free_v
19,16.0,1618.8367462868193,0.0026194347843641894,50,collapsed,free_v
20,12.0,13273732.636521883,0.0026194347843641894,50,collapsed,free_v
21,16.0,3187.337627315997,0.0026194347843641894,50,collapsed,free_v
22,11.0,1750.270342523887,0.0026194347843641894,50,collapsed,free_v
23,11.0,1757.5014673742971,0.0026194347843641894,50,collapsed,free_v
24,13.0,1410.682691355902,0.0026194347843641894,50,collapsed,free_v
25,12.0,1571.5387003607123,0.0026194347843641894,50,collapsed,free_v
26,13.0,2326.6680956366454,0.0026194347843641894,50,collapsed,free_v
27,12.0,1781.1413927198228,0.0026194347843641894,50,collapsed,free_v
28,13.0,2019.4131872433188,0.0026194347843641894,50,collapsed,free_v
29,12.0,1481.7801758728403,0.0026194347843641894,50,collapsed,free_v
30,12.0,1638.6206295512081,0.0026194347843641894,50,collapsed,free_v
31,13.0,2091.1242685070633,0.0026194347843641894,50,collapsed,free_v
32,12.0,2082.301125191506,0.0026194347843641894,50,collapsed,free_v
33,14.0,1991.3890046736988,0.0026194347843641894,50,collapsed,free_v
34,15.0,2108.7139204001446,0.0026194347843641894,50,collapsed,free_v
35,14.0,2070.1377887677777,0.0026194347843641894,50,collapsed,free_v
36,13.0,1811.8072469994543,0.0026194347843641894,50,collapsed,free_v
37,14.0,2353.1765687297075,0.0026194347843641894,50,collapsed,free_v
38,13.0,2891.7667091522308,0.0026194347843641894,50,collapsed,free_v
39,14.0,1759.3681881208229,0.0026194347843641894,50,collapsed,free_v
40,12.0,2015.1952798466673,0.0026194347843641894,50,collapsed,free_v
41,12.0,1465.6852714014,0.0026194347843641894,50,collapsed,free_v
42,12.0,1706.9021796288675,0.0026194347843641894,50,collapsed,free_v
