,t,dist,I,coll,var
0,7.0,1215.887979584167,50,collapsed,fixed
1,8.0,1072.60542613461,50,collapsed,fixed
2,7.0,1005.1508982562161,50,collapsed,fixed
3,7.0,1231.2022442624689,50,collapsed,fixed
4,6.0,1183.1121805620949,50,collapsed,fixed
5,7.0,967.6187688576458,50,collapsed,fixed
6,7.0,1164.9515128114333,50,collapsed,fixed
7,7.0,1048.6055958150162,50,collapsed,fixed
8,7.0,946.0915437453602,50,collapsed,fixed
9,7.0,948.4977608756608,50,collapsed,fixed
10,5.0,2328.282390912868,100,collapsed,fixed
11,5.0,2482.843173665051,100,collapsed,fixed
12,6.0,2171.918593986222,100,collapsed,fixed
13,6.0,1839.7500096032356,100,collapsed,fixed
14,5.0,2240.7359245905072,100,collapsed,fixed
15,6.0,2236.2704878519703,100,collapsed,fixed
16,6.0,2058.9552080407534,100,collapsed,fixed
17,6.0,1911.1920612554188,100,collapsed,fixed
18,6.0,2101.773989767263,100,collapsed,fixed
19,5.0,2051.8966884944516,100,collapsed,fixed
20,5.0,5067.596913141527,250,collapsed,fixed
21,4.0,5652.597941033344,250,collapsed,fixed
22,5.0,4601.682405751427,250,collapsed,fixed
23,4.0,4921.436236549322,250,collapsed,fixed
24,4.0,4952.640200786485,250,collapsed,fixed
25,5.0,4775.181636778304,250,collapsed,fixed
26,4.0,4788.882598672051,250,collapsed,fixed
27,5.0,5197.05519213811,250,collapsed,fixed
28,5.0,4751.271265920914,250,collapsed,fixed
29,4.0,4734.083657070346,250,collapsed,fixed
30,4.0,9974.731138050925,500,collapsed,fixed
31,5.0,10412.702198716694,500,collapsed,fixed
32,5.0,10691.626438226273,500,collapsed,fixed
33,5.0,9872.371491510154,500,collapsed,fixed
34,4.0,10798.718445896166,500,collapsed,fixed
35,5.0,10518.353406537546,500,collapsed,fixed
36,4.0,9769.787549155762,500,collapsed,fixed
37,5.0,10136.151708058775,500,collapsed,fixed
38,4.0,10142.817931948708,500,collapsed,fixed
39,4.0,9720.206782063811,500,collapsed,fixed
40,4.0,21234.86510540612,1000,collapsed,fixed
41,4.0,21368.542195608035,1000,collapsed,fixed
42,4.0,20332.71060707966,1000,collapsed,fixed
43,5.0,20658.62684724833,1000,collapsed,fixed
44,4.0,19270.015860285785,1000,collapsed,fixed
45,5.0,18230.322536545173,1000,collapsed,fixed
46,5.0,19827.263836076327,1000,collapsed,fixed
47,5.0,19759.539346830952,1000,collapsed,fixed
48,5.0,20796.025273843312,1000,collapsed,fixed
49,4.0,19308.178525277297,1000,collapsed,fixed
50,9.0,1173.855646431899,50,collapsed,free_v
51,13.0,1597.462663098635,50,collapsed,free_v
52,16.0,1192.8447483411655,50,collapsed,free_v
53,9.0,1108.6629424178439,50,collapsed,free_v
54,12.0,1093.6289609224582,50,collapsed,free_v
55,8.0,1136.6000772794318,50,collapsed,free_v
56,6.0,976.4408103241735,50,collapsed,free_v
57,8.0,10199.447292395145,50,collapsed,free_v
58,12.0,1103.5935074162771,50,collapsed,free_v
59,9.0,748.7351137966648,50,collapsed,free_v
60,7.0,1991.5874804174964,100,collapsed,free_v
61,7.0,2543.9268629461662,100,collapsed,free_v
62,10.0,1834.678440620239,100,collapsed,free_v
63,8.0,1900.0602901246364,100,collapsed,free_v
64,6.0,2023.841822447436,100,collapsed,free_v
65,7.0,1918.5342259860001,100,collapsed,free_v
66,7.0,360129.47760441294,100,collapsed,free_v
67,7.0,2427.9278542971347,100,collapsed,free_v
68,7.0,1934.4572394299414,100,collapsed,free_v
69,8.0,2133.6696757398895,100,collapsed,free_v
70,8.0,4897.989772117017,250,collapsed,free_v
71,6.0,5208.152022710022,250,collapsed,free_v
72,5.0,5010.128730936849,250,collapsed,free_v
73,6.0,4420.975360395239,250,collapsed,free_v
74,6.0,5066.548961292699,250,collapsed,free_v
75,7.0,5222.035509097655,250,collapsed,free_v
76,6.0,5615.868923438639,250,collapsed,free_v
77,7.0,5360.6552375882775,250,collapsed,free_v
78,7.0,23155.880228916376,250,collapsed,free_v
79,6.0,5624.005882689694,250,collapsed,free_v
80,6.0,10331.931884948031,500,collapsed,free_v
81,6.0,8861.08760096678,500,collapsed,free_v
82,6.0,9576.729187401732,500,collapsed,free_v
83,6.0,9868.194651856908,500,collapsed,free_v
84,6.0,9943.221400218688,500,collapsed,free_v
85,5.0,9236.643688797038,500,collapsed,free_v
86,5.0,10183.581099489424,500,collapsed,free_v
87,5.0,9709.594918998677,500,collapsed,free_v
88,5.0,10180.566701847472,500,collapsed,free_v
89,5.0,10219.39763069651,500,collapsed,free_v
90,5.0,19740.074951079252,1000,collapsed,free_v
91,5.0,22276.103498335146,1000,collapsed,free_v
92,6.0,20110.03109238561,1000,collapsed,free_v
93,5.0,19549.726784462506,1000,collapsed,free_v
94,5.0,19189.146075804947,1000,collapsed,free_v
95,6.0,19892.937319421322,1000,collapsed,free_v
96,5.0,20124.509964717825,1000,collapsed,free_v
97,5.0,19177.393743482495,1000,collapsed,free_v
98,6.0,915907.622109098,1000,collapsed,free_v
99,6.0,20503.854427076163,1000,collapsed,free_v
