Unnamed: 0,t,dist,I,coll,var
0,57.0,1078.239804195773,50,vanilla,fixed
1,40.0,1359.4773005629715,50,vanilla,fixed
2,49.0,923.3936714894926,50,vanilla,fixed
3,57.0,1062.8586524796403,50,vanilla,fixed
4,60.0,881.9324388329071,50,vanilla,fixed
5,70.0,1143.3300809252623,50,vanilla,fixed
6,50.0,1289.206089656746,50,vanilla,fixed
7,48.0,1096.5982122578894,50,vanilla,fixed
8,37.0,1259.6202747393056,50,vanilla,fixed
9,53.0,1345.2706275688297,50,vanilla,fixed
10,57.0,1109.1924969737825,50,vanilla,fixed
11,48.0,1228.0070379212516,50,vanilla,fixed
12,58.0,1006.7856922653228,50,vanilla,fixed
13,45.0,1206.7366528778164,50,vanilla,fixed
14,95.0,1221.0231038450786,50,vanilla,fixed
15,98.0,1246.4370281587976,50,vanilla,fixed
16,39.0,1228.7289971010964,50,vanilla,fixed
17,52.0,1228.1094189055018,50,vanilla,fixed
18,85.0,1306.1774314211225,50,vanilla,fixed
19,50.0,1082.852236057205,50,vanilla,fixed
20,97.0,1016.8605140300554,50,vanilla,fixed
21,49.0,1118.832835604842,50,vanilla,fixed
22,42.0,1013.3339798918342,50,vanilla,fixed
23,54.0,985.2221350448904,50,vanilla,fixed
24,43.0,799.4950259379497,50,vanilla,fixed
25,50.0,811.5890337852418,50,vanilla,fixed
26,42.0,1013.068286113694,50,vanilla,fixed
27,83.0,1215.2691921957742,50,vanilla,fixed
28,60.0,1262.7267213218577,50,vanilla,fixed
29,45.0,1107.4264165642855,50,vanilla,fixed
30,62.0,1264.477324057538,50,vanilla,fixed
31,37.0,1325.902138799544,50,vanilla,fixed
32,115.0,1321.255930617457,50,vanilla,fixed
33,32.0,1102.9366916831086,50,vanilla,fixed
34,62.0,1224.4650215704248,50,vanilla,fixed
35,60.0,1143.106334285348,50,vanilla,fixed
36,59.0,1117.4186036887943,50,vanilla,fixed
37,58.0,1038.855141546381,50,vanilla,fixed
38,51.0,987.225034677441,50,vanilla,fixed
39,48.0,1045.7970375562693,50,vanilla,fixed
40,61.0,1264.2821916619098,50,vanilla,fixed
41,52.0,1046.3443499047974,50,vanilla,fixed
42,68.0,1241.0016703873816,50,vanilla,fixed
43,45.0,907.5669107816506,50,vanilla,fixed
44,19.0,989.2440874203238,50,vanilla,fixed
45,53.0,829.2841857565251,50,vanilla,fixed
46,60.0,1232.9976136143616,50,vanilla,fixed
47,54.0,1224.996890234924,50,vanilla,fixed
48,56.0,1213.9723321136862,50,vanilla,fixed
49,102.0,1189.4264149510375,50,vanilla,fixed
50,103.0,1249.630072206682,50,vanilla,fixed
51,35.0,1300.1349032290116,50,vanilla,fixed
52,41.0,1109.813254494882,50,vanilla,fixed
53,105.0,1118.7344078174865,50,vanilla,fixed
54,51.0,962.8598451740868,50,vanilla,fixed
55,58.0,1088.7401276880971,50,vanilla,fixed
56,45.0,883.4738102958697,50,vanilla,fixed
57,62.0,989.8374061001316,50,vanilla,fixed
58,49.0,770.904227537206,50,vanilla,fixed
59,57.0,1286.690057816338,50,vanilla,fixed
60,65.0,1083.2760672904656,50,vanilla,fixed
61,46.0,1141.8629956312398,50,vanilla,fixed
62,50.0,1005.1756237172688,50,vanilla,fixed
63,41.0,1216.7304576830566,50,vanilla,fixed
64,48.0,840.768239146431,50,vanilla,fixed
65,62.0,1248.3284114022904,50,vanilla,fixed
66,89.0,878.9493580501029,50,vanilla,fixed
67,59.0,1050.8248173408958,50,vanilla,fixed
68,35.0,1040.5804174115729,50,vanilla,fixed
69,41.0,1200.9345304088058,50,vanilla,fixed
70,47.0,1153.002984066571,50,vanilla,fixed
71,50.0,999.30316493483,50,vanilla,fixed
72,59.0,1283.035147415941,50,vanilla,fixed
73,62.0,1302.199447691865,50,vanilla,fixed
74,48.0,1060.200383789568,50,vanilla,fixed
75,38.0,1274.056412155823,50,vanilla,fixed
76,50.0,1149.0704946563026,50,vanilla,fixed
77,69.0,937.9560492194888,50,vanilla,fixed
78,48.0,977.8631431285864,50,vanilla,fixed
79,43.0,978.7986610658678,50,vanilla,fixed
80,49.0,1215.8465369210955,50,vanilla,fixed
81,47.0,1366.4224454524135,50,vanilla,fixed
82,56.0,1140.9269893769992,50,vanilla,fixed
83,23.0,1100.4715720402485,50,vanilla,fixed
84,50.0,1202.5344387429914,50,vanilla,fixed
85,72.0,1265.3225844644996,50,vanilla,fixed
86,97.0,1047.159045213392,50,vanilla,fixed
87,21.0,1205.8944458366618,50,vanilla,fixed
88,37.0,933.3395539504564,50,vanilla,fixed
89,50.0,1266.1959020402223,50,vanilla,fixed
90,39.0,877.8087199653512,50,vanilla,fixed
91,57.0,942.6593909694076,50,vanilla,fixed
92,53.0,1264.641784562879,50,vanilla,fixed
93,55.0,1427.0637374128355,50,vanilla,fixed
94,46.0,814.0466396979795,50,vanilla,fixed
95,53.0,952.674497463784,50,vanilla,fixed
96,58.0,1149.0286138786882,50,vanilla,fixed
97,62.0,1210.0498128912448,50,vanilla,fixed
98,55.0,1056.8213683368435,50,vanilla,fixed
99,56.0,1082.1984809341104,50,vanilla,fixed
100,41.0,1274.3701322505551,50,vanilla,fixed
101,50.0,1078.2285552130663,50,vanilla,fixed
102,57.0,1385.899729745407,50,vanilla,fixed
103,89.0,1083.8811001771296,50,vanilla,fixed
104,50.0,1103.7763812704195,50,vanilla,fixed
105,51.0,1011.3028331725676,50,vanilla,fixed
106,58.0,1217.6357728054395,50,vanilla,fixed
107,39.0,932.6962249161616,50,vanilla,fixed
108,53.0,1239.6848819047316,50,vanilla,fixed
109,27.0,950.1707312312576,50,vanilla,fixed
110,55.0,1082.7369510744034,50,vanilla,fixed
111,42.0,885.9921540419941,50,vanilla,fixed
112,98.0,1319.6596850175306,50,vanilla,fixed
113,88.0,1010.94830031424,50,vanilla,fixed
114,98.0,823.3030423626781,50,vanilla,fixed
115,47.0,916.6124760264092,50,vanilla,fixed
116,59.0,982.1141525140598,50,vanilla,fixed
