config,K,I1,I2,I3,N,rep,meeting_time
I_100_100_100,3,100,100,100,1004,0,14
I_100_100_100,3,100,100,100,1064,1,21
I_100_100_100,3,100,100,100,1073,2,43
I_100_100_100,3,100,100,100,1002,3,7
I_100_100_100,3,100,100,100,998,4,51
I_100_100_100,3,100,100,100,959,5,37
I_100_100_100,3,100,100,100,952,6,7
I_100_100_100,3,100,100,100,1024,7,7
I_100_100_100,3,100,100,100,967,8,29
I_100_100_100,3,100,100,100,1010,9,21
I_100_100_100,3,100,100,100,979,10,54
I_100_100_100,3,100,100,100,981,11,12
I_100_100_100,3,100,100,100,983,12,9
I_100_100_100,3,100,100,100,1021,13,16
I_100_100_100,3,100,100,100,985,14,15
I_100_100_100,3,100,100,100,1040,15,8
I_100_100_100,3,100,100,100,1001,16,38
I_100_100_100,3,100,100,100,967,17,7
I_100_100_100,3,100,100,100,977,18,23
I_100_100_100,3,100,100,100,1016,19,22
I_100_100_100,3,100,100,100,1016,20,18
I_100_100_100,3,100,100,100,946,21,60
I_100_100_100,3,100,100,100,991,22,38
I_100_100_100,3,100,100,100,1020,23,48
I_100_100_100,3,100,100,100,1026,24,39
I_100_100_100,3,100,100,100,949,25,25
I_100_100_100,3,100,100,100,987,26,8
I_100_100_100,3,100,100,100,1028,27,39
I_100_100_100,3,100,100,100,1000,28,23
I_100_100_100,3,100,100,100,1013,29,12
I_100_100_100,3,100,100,100,1002,30,7
I_100_100_100,3,100,100,100,1039,31,7
I_100_100_100,3,100,100,100,982,32,46
I_100_100_100,3,100,100,100,983,33,70
I_100_100_100,3,100,100,100,1042,34,41
I_100_100_100,3,100,100,100,1008,35,38
I_100_100_100,3,100,100,100,971,36,20
I_100_100_100,3,100,100,100,985,37,53
I_100_100_100,3,100,100,100,1014,38,55
I_100_100_100,3,100,100,100,988,39,14
I_100_100_100,3,100,100,100,992,40,18
I_100_100_100,3,100,100,100,994,41,12
I_100_100_100,3,100,100,100,985,42,18
I_100_100_100,3,100,100,100,988,43,11
I_100_100_100,3,100,100,100,965,44,14
I_100_100_100,3,100,100,100,1049,45,17
I_100_100_100,3,100,100,100,1091,46,62
I_100_100_100,3,100,100,100,973,47,25
I_100_100_100,3,100,100,100,1005,48,14
I_100_100_100,3,100,100,100,1025,49,16
I_100_100_100,3,100,100,100,999,50,19
I_100_100_100,3,100,100,100,1029,51,20
I_100_100_100,3,100,100,100,1006,52,7
I_100_100_100,3,100,100,100,1035,53,15
I_100_100_100,3,100,100,100,986,54,41
I_100_100_100,3,100,100,100,1046,55,47
I_100_100_100,3,100,100,100,954,56,60
I_100_100_100,3,100,100,100,986,57,13
I_100_100_100,3,100,100,100,995,58,10
I_100_100_100,3,100,100,100,990,59,20
I_100_100_100,3,100,100,100,999,60,33
I_100_100_100,3,100,100,100,1047,61,7
I_100_100_100,3,100,100,100,1018,62,18
I_100_100_100,3,100,100,100,936,63,21
I_100_100_100,3,100,100,100,997,64,21
I_100_100_100,3,100,100,100,987,65,24
I_100_100_100,3,100,100,100,1033,66,17
I_100_100_100,3,100,100,100,1029,67,32
I_100_100_100,3,100,100,100,1000,68,39
I_100_100_100,3,100,100,100,998,69,8
I_100_100_100,3,100,100,100,983,70,37
I_100_100_100,3,100,100,100,982,71,38
I_100_100_100,3,100,100,100,1014,72,29
I_100_100_100,3,100,100,100,999,73,16
I_100_100_100,3,100,100,100,1021,74,32
I_100_100_100,3,100,100,100,1022,75,11
I_100_100_100,3,100,100,100,994,76,19
I_100_100_100,3,100,100,100,1031,77,22
I_100_100_100,3,100,100,100,1025,78,45
I_100_100_100,3,100,100,100,1037,79,32
I_100_100_100,3,100,100,100,992,80,8
I_100_100_100,3,100,100,100,991,81,68
I_100_100_100,3,100,100,100,1084,82,15
I_100_100_100,3,100,100,100,1028,83,9
