I,S,var_fixed,time
"(np.int64(100), np.int64(100))",3,True,12
"(np.int64(100), np.int64(100))",3,True,17
"(np.int64(100), np.int64(100))",3,True,24
"(np.int64(100), np.int64(100))",3,True,53
"(np.int64(100), np.int64(100))",3,True,17
"(np.int64(100), np.int64(100))",3,True,22
"(np.int64(100), np.int64(100))",3,True,14
"(np.int64(100), np.int64(100))",3,True,25
"(np.int64(100), np.int64(100))",3,True,14
"(np.int64(100), np.int64(100))",3,True,18
"(np.int64(100), np.int64(100))",3,False,15
"(np.int64(100), np.int64(100))",3,False,24
"(np.int64(100), np.int64(100))",3,False,15
"(np.int64(100), np.int64(100))",3,False,43
"(np.int64(100), np.int64(100))",3,False,17
"(np.int64(100), np.int64(100))",3,False,15
"(np.int64(100), np.int64(100))",3,False,21
"(np.int64(100), np.int64(100))",3,False,16
"(np.int64(100), np.int64(100))",3,False,15
"(np.int64(100), np.int64(100))",3,False,16
"(np.int64(100), np.int64(100))",5,True,18
"(np.int64(100), np.int64(100))",5,True,25
"(np.int64(100), np.int64(100))",5,True,9
"(np.int64(100), np.int64(100))",5,True,32
"(np.int64(100), np.int64(100))",5,True,13
"(np.int64(100), np.int64(100))",5,True,15
"(np.int64(100), np.int64(100))",5,True,24
"(np.int64(100), np.int64(100))",5,True,11
"(np.int64(100), np.int64(100))",5,True,22
"(np.int64(100), np.int64(100))",5,True,32
"(np.int64(100), np.int64(100))",5,False,10
"(np.int64(100), np.int64(100))",5,False,27
"(np.int64(100), np.int64(100))",5,False,12
"(np.int64(100), np.int64(100))",5,False,13
"(np.int64(100), np.int64(100))",5,False,16
"(np.int64(100), np.int64(100))",5,False,11
"(np.int64(100), np.int64(100))",5,False,9
"(np.int64(100), np.int64(100))",5,False,26
"(np.int64(100), np.int64(100))",5,False,30
"(np.int64(100), np.int64(100))",5,False,13
"(np.int64(100), np.int64(100))",20,True,5
"(np.int64(100), np.int64(100))",20,True,28
"(np.int64(100), np.int64(100))",20,True,11
"(np.int64(100), np.int64(100))",20,True,5
"(np.int64(100), np.int64(100))",20,True,9
"(np.int64(100), np.int64(100))",20,True,19
"(np.int64(100), np.int64(100))",20,True,26
"(np.int64(100), np.int64(100))",20,True,13
"(np.int64(100), np.int64(100))",20,True,17
"(np.int64(100), np.int64(100))",20,True,6
"(np.int64(100), np.int64(100))",20,False,15
"(np.int64(100), np.int64(100))",20,False,10
"(np.int64(100), np.int64(100))",20,False,15
"(np.int64(100), np.int64(100))",20,False,22
"(np.int64(100), np.int64(100))",20,False,11
"(np.int64(100), np.int64(100))",20,False,4
"(np.int64(100), np.int64(100))",20,False,7
"(np.int64(100), np.int64(100))",20,False,16
"(np.int64(100), np.int64(100))",20,False,8
"(np.int64(100), np.int64(100))",20,False,7
"(np.int64(300), np.int64(300))",3,True,24
"(np.int64(300), np.int64(300))",3,True,25
"(np.int64(300), np.int64(300))",3,True,30
"(np.int64(300), np.int64(300))",3,True,39
"(np.int64(300), np.int64(300))",3,True,47
"(np.int64(300), np.int64(300))",3,True,30
"(np.int64(300), np.int64(300))",3,True,32
"(np.int64(300), np.int64(300))",3,True,31
"(np.int64(300), np.int64(300))",3,True,35
"(np.int64(300), np.int64(300))",3,True,30
"(np.int64(300), np.int64(300))",3,False,36
"(np.int64(300), np.int64(300))",3,False,19
"(np.int64(300), np.int64(300))",3,False,32
