I,S,var_fixed,time
"(np.int64(40), np.int64(70), np.int64(90))",3,False,123
"(np.int64(40), np.int64(70), np.int64(90))",3,False,481
"(np.int64(40), np.int64(70), np.int64(90))",3,False,337
"(np.int64(40), np.int64(70), np.int64(90))",3,False,63
"(np.int64(40), np.int64(70), np.int64(90))",3,False,397
"(np.int64(40), np.int64(70), np.int64(90))",3,False,18
"(np.int64(40), np.int64(70), np.int64(90))",3,False,57
"(np.int64(40), np.int64(70), np.int64(90))",3,False,276
"(np.int64(40), np.int64(70), np.int64(90))",3,False,265
"(np.int64(40), np.int64(70), np.int64(90))",3,False,102
"(np.int64(40), np.int64(70), np.int64(90))",5,False,34
"(np.int64(40), np.int64(70), np.int64(90))",5,False,21
"(np.int64(40), np.int64(70), np.int64(90))",5,False,47
"(np.int64(40), np.int64(70), np.int64(90))",5,False,70
"(np.int64(40), np.int64(70), np.int64(90))",5,False,55
"(np.int64(40), np.int64(70), np.int64(90))",5,False,27
"(np.int64(40), np.int64(70), np.int64(90))",5,False,134
"(np.int64(40), np.int64(70), np.int64(90))",5,False,61
"(np.int64(40), np.int64(70), np.int64(90))",5,False,87
"(np.int64(40), np.int64(70), np.int64(90))",5,False,107
"(np.int64(80), np.int64(140), np.int64(180))",3,False,188
"(np.int64(80), np.int64(140), np.int64(180))",3,False,109
"(np.int64(80), np.int64(140), np.int64(180))",3,False,277
"(np.int64(80), np.int64(140), np.int64(180))",3,False,35
"(np.int64(80), np.int64(140), np.int64(180))",3,False,144
"(np.int64(80), np.int64(140), np.int64(180))",3,False,37
"(np.int64(80), np.int64(140), np.int64(180))",3,False,332
"(np.int64(80), np.int64(140), np.int64(180))",3,False,90
"(np.int64(80), np.int64(140), np.int64(180))",3,False,499
"(np.int64(80), np.int64(140), np.int64(180))",3,False,196
"(np.int64(80), np.int64(140), np.int64(180))",5,False,176
"(np.int64(80), np.int64(140), np.int64(180))",5,False,242
"(np.int64(80), np.int64(140), np.int64(180))",5,False,279
"(np.int64(80), np.int64(140), np.int64(180))",5,False,58
"(np.int64(80), np.int64(140), np.int64(180))",5,False,205
"(np.int64(80), np.int64(140), np.int64(180))",5,False,114
"(np.int64(80), np.int64(140), np.int64(180))",5,False,100
"(np.int64(80), np.int64(140), np.int64(180))",5,False,223
"(np.int64(80), np.int64(140), np.int64(180))",5,False,94
"(np.int64(80), np.int64(140), np.int64(180))",5,False,39
"(np.int64(120), np.int64(210), np.int64(270))",3,False,496
"(np.int64(120), np.int64(210), np.int64(270))",3,False,305
"(np.int64(120), np.int64(210), np.int64(270))",3,False,29
"(np.int64(120), np.int64(210), np.int64(270))",3,False,117
"(np.int64(120), np.int64(210), np.int64(270))",3,False,135
"(np.int64(120), np.int64(210), np.int64(270))",3,False,171
